,valence,loudness,liveness
2001,0.5009922316384191,-6.587049435028241,0.19312146892655377
2002,0.4822663739021331,-6.544727728983691,0.21356562107904634
2003,0.47556200000000015,-6.401222352941178,0.19919823529411765
2004,0.47346585051546397,-6.364650773195872,0.20125425257731971
2005,0.49399243697479017,-6.1932549019607865,0.19061834733893548
2006,0.4667182397959183,-5.8683201530612275,0.1974271683673469
2007,0.4776965865992413,-6.0708609355246494,0.19706169405815416
2008,0.4896289124668433,-6.094057029177715,0.21181007957559655
2009,0.4662813918305592,-5.918927382753411,0.21100711043872936
2010,0.49408962108731447,-5.6587677100494265,0.19685140032948925
